"degrees_f32_heating_start_ambient_temp","holding_280",Combined
"onoff_f32_power_on",holding_775,Simple
"enum_f32_heating_mode",holding_774,Simple
"enum_f32_heating_curve_cooling_low_temp","",Simple
"enum_f32_heating_curve_cooling_high_temp","",Simple
"enum_f32_cooling_type","",Simple
"enum_f32_heating_curve_heating_low_temp","",Simple
"enum_f32_heating_curve_heating_high_temp","",Simple
"enum_f32_heating_type","",Simple
"onoff_f32_sensor_enable_boiler","holding_306",Simple
"onoff_f32_linkage_switch_setting","holding_263",Simple
"degrees_f32_temp_difference_for_e37","holding_281",Simple
"degrees_f32_manual_set_temp_heating","holding_771",Simple
"degrees_f32_manual_set_temp_cooling","holding_770",Simple
"enum_f32_heating_curve_heating_select","holding_790",Simple
"enum_f32_heating_curve_cooling_select","holding_789",Simple
"degrees_f32_max_outside_temp_heating","holding_364",Simple
"degrees_f32_min_outside_temp_cooling","holding_363",Simple
"degrees_f32_max_water_temp_heating","holding_368",Simple
"degrees_f32_min_water_temp_heating","holding_369",Simple
"degrees_f32_min_water_temp_cooling","holding_371",Simple
"degrees_f32_max_water_temp_cooling","holding_372",Simple
"onoff_f32_custom_heating_curve_heating","holding_2066",Simple
"slope_f32_custom_heating_curve_heating_slope","holding_2067",Simple
"degrees_f32_custom_heating_curve_heating_start","holding_2068",Simple
"onoff_f32_custom_heating_curve_cooling","holding_2095",Simple
"slope_f32_custom_heating_curve_cooling_slope","holding_2096",Simple
"degrees_f32_custom_heating_curve_cooling_start","holding_2097",Simple
"degrees_f32_hysteresis_a","holding_284",Simple
"enum_f32_circulation_pump_mode","holding_286",Simple
"onoff_f32_flow_switch","holding_261",Simple
"percentage_f32_circulation_pump_max_speed","holding_518",Simple
"percentage_f32_circulation_pump_min_speed","holding_358",Simple
"percentage_f32_circulation_pump_min_speed_regulation","holding_421",Simple
"percentage_f32_circulation_pump_speed_at_set_temp","holding_519",Simple
"degrees_f32_temp_difference_for_circulation_pump_activation","holding_357",Simple
"onoff_f32_heatpump_control_based_on_inlet","holding_374",Simple
"onoff_f32_anti_block_circulation_on","holding_2112",Simple
"days_f32_anti_block_circulation_interval","holding_2113",Simple
"enum_f32_defrosting_mode","holding_288",Simple
"rpm_f32_max_fan_frequency_heating","holding_326",Simple
"rpm_f32_max_fan_frequency_cooling","holding_328",Simple
"rpm_f32_max_fan_frequency_silent","holding_347",Simple
"slope_f32_night_curve_slope","holding_2076",Simple
"degrees_f32_night_curve_start","holding_2077",Simple
"degrees_f32_night_curve_start_time","holding_2078",Simple
"degrees_f32_night_curve_end_time","holding_2079",Simple
"x_f32_current_unit_tool_number","holding_38",Simple
"x_f32_eev_open_step","holding_68",Simple
"x_f32_evi_valve_open_step","holding_69",Simple
"x_f32_eev_open_step","holding_68",Simple
"x_f32_smart_grid_status","holding_124",Simple
"x_f32_number","holding_226",Simple
